date,roc
2004-01-20,6.403
2004-02-20,6.1769
2004-03-20,6.3444
2004-04-20,6.489
2004-05-20,6.5353
2004-06-20,6.5353
2004-07-20,7.3319
2004-08-20,7.3469
2004-09-20,7.3469
2004-10-20,9.1043
2004-11-20,9.1607
2004-12-20,9.7627
2005-01-20,9.6782
2005-02-20,9.6782
2005-03-20,9.729
2005-04-20,8.2776
2005-05-20,8.3127
2005-06-20,8.311
2005-07-20,8.8744
2005-08-20,8.907
2005-09-20,8.907
2005-10-20,9.3557
2005-11-20,9.3557
2005-12-20,9.5976
2006-01-20,10.8772
2006-02-20,10.0051
2006-03-20,13.4088
2006-04-20,12.5661
2006-05-20,12.5633
2006-06-20,11.0661
2006-07-20,11.0732
2006-08-20,11.1011
2006-09-20,10.6267
2006-10-20,10.5505
2006-11-20,10.5473
2006-12-20,11.2092
2007-01-20,11.3799
2007-02-20,11.3915
2007-03-20,11.4016
2007-04-20,9.6267
2007-05-20,9.633
2007-06-20,10.2497
2007-07-20,10.2043
2007-08-20,10.0392
2007-09-20,10.6121
2007-10-20,10.6026
2007-11-20,10.6612
2007-12-20,10.6311
2008-01-20,10.7097
2008-02-20,10.6863
2008-03-20,10.684
2008-04-20,10.6161
2008-05-20,11.0333
2008-06-20,11.0333
2008-07-20,10.9885
2008-08-20,10.5287
2008-09-20,10.5287
2008-10-20,10.5287
2008-11-20,9.8594
2008-12-20,9.8594
2009-01-20,9.8594
2009-02-20,10.5206
2009-03-20,10.3694
2009-04-20,10.3694
2009-05-20,7.0858
2009-06-20,7.0858
2009-07-20,7.0771
2009-08-20,5.2921
2009-09-20,5.2938
2009-10-20,5.2938
2009-11-20,4.4479
2009-12-20,4.4484
2010-01-20,4.4484
2010-02-20,4.7176
2010-03-20,4.7176
2010-04-20,4.7176
2010-05-20,10.4663
2010-06-20,10.4674
2010-07-20,10.4674
2010-08-20,12.3628
2010-09-20,12.3628
2010-10-20,12.3744
2010-11-20,13.8325
2010-12-20,13.8326
2011-01-20,13.8326
2011-02-20,14.6707
2011-03-20,14.6707
2011-04-20,14.6707
2011-05-20,15.2971
2011-06-20,15.2664
2011-07-20,15.2296
2011-08-20,15.279
2011-09-20,15.279
2011-10-20,15.5469
2011-11-20,15.5413
2011-12-20,15.5423
2012-01-20,15.4897
2012-02-20,15.4897
2012-03-20,15.6231
2012-04-20,15.6674
2012-05-20,15.67
2012-06-20,15.7956
2012-07-20,15.7956
2012-08-20,15.7956
2012-09-20,14.8597
2012-10-20,14.8601
2012-11-20,14.9131
2012-12-20,14.7993
2013-01-20,14.7993
2013-02-20,14.0092
2013-03-20,14.0092
2013-04-20,14.0092
2013-05-20,14.1419
2013-06-20,14.1286
2013-07-20,13.8068
2013-08-20,13.8068
2013-09-20,13.8068
2013-10-20,14.1828
2013-11-20,14.1912
2013-12-20,14.3834
2014-01-20,14.3834
2014-02-20,14.0106
2014-03-20,14.0106
2014-04-20,14.0106
2014-05-20,13.5255
2014-06-20,14.2377
2014-07-20,14.2377
2014-08-20,13.9496
2014-09-20,13.9496
2014-10-20,13.9496
2014-11-20,13.6936
2014-12-20,12.7796
2015-01-20,12.7796
2015-02-20,13.2425
2015-03-20,13.2425
2015-04-20,13.2425
2015-05-20,14.0611
2015-06-20,14.0684
2015-07-20,14.0684
2015-08-20,14.1186
2015-09-20,14.1186
2015-10-20,14.1186
2015-11-20,13.4847
2015-12-20,13.4557
2016-01-20,13.4557
2016-02-20,12.8422
2016-03-20,12.8422
2016-04-20,11.8461
2016-05-20,11.8385
2016-06-20,11.3204
2016-07-20,11.2267
2016-08-20,11.2268
2016-09-20,11.1337
2016-10-20,10.9579
2016-11-20,10.9664
2016-12-20,10.3541
2017-01-20,10.2539
2017-02-20,10.2539
2017-03-20,10.3645
2017-04-20,10.4192
2017-05-20,10.4337
2017-06-20,10.654
2017-07-20,10.6713
2017-08-20,10.6713
2017-09-20,10.902
2017-10-20,10.9022
2017-11-20,10.9491
2017-12-20,11.3044
2018-01-20,11.2864
2018-02-20,11.2826
2018-03-20,11.2656
2018-04-20,10.57
2018-05-20,10.6002
2018-06-20,11.4606
2018-07-20,11.5415
2018-08-20,11.5415
2018-09-20,12.5092
2018-10-20,12.4971
2018-11-20,12.5041
2018-12-20,12.4635
2019-01-20,13.2555
2019-02-20,13.2562
2019-03-20,13.2562
2019-04-20,14.379
2019-05-20,14.3488
2019-06-20,13.3288
2019-07-20,13.2504
2019-08-20,13.2483
2019-09-20,13.2672
2019-10-20,13.1809
2019-11-20,13.1809
2019-12-20,13.1809
2020-01-20,12.4384
2020-02-20,12.4384
2020-03-20,12.4384
2020-04-20,12.3612
2020-05-20,12.3608
2020-06-20,12.3608
2020-07-20,11.9768
2020-08-20,11.9768
2020-09-20,11.9768
2020-10-20,11.1305
2020-11-20,11.1295
2020-12-20,11.1295
2021-01-20,11.4309
2021-02-20,11.4309
2021-03-20,11.4309
2021-04-20,11.3617
2021-05-20,11.3602
2021-06-20,11.3602
2021-07-20,12.5655
2021-08-20,12.5686
2021-09-20,12.5686
2021-10-20,14.343
2021-11-20,14.3406
2021-12-20,14.3406
2022-01-20,14.9253
2022-02-20,14.9269
2022-03-20,14.923
2022-04-20,15.3215
2022-05-20,15.3232
2022-06-20,15.3167
2022-07-20,15.3136
2022-08-20,15.3136
2022-09-20,15.3136
2022-10-20,14.4471
2022-11-20,14.4471
2022-12-20,14.4479
2023-01-20,13.5457
2023-02-20,13.5457
2023-03-20,11.4564
2023-04-20,11.4351
2023-05-20,11.4339
2023-06-20,10.9247
2023-07-20,10.9314
2023-08-20,10.9314
2023-09-20,11.677
2023-10-20,11.7852
2023-11-20,11.7841
2023-12-20,11.5474
2024-01-20,11.6546
2024-02-20,11.6546
2024-03-20,11.6546
2024-04-20,11.6136
2024-05-20,11.6123
2024-06-20,11.973
2024-07-20,11.683
2024-08-20,11.6847
2024-09-20,11.6837
2024-10-20,11.3698
2024-11-20,11.3698
2024-12-20,11.3698
2025-01-20,11.5279
2025-02-20,11.5224
2025-03-20,11.5146
2025-04-20,12.126
2025-05-20,12.126
2025-06-20,12.4353
2025-07-20,12.4318
2025-08-20,12.4414
2025-09-20,12.4413
2025-10-20,13.2367
2025-11-20,13.2445
2025-12-20,13.2445
2026-01-20,14.0471
2026-02-20,14.0474
2026-03-20,14.0493
2026-04-20,13.6364
